n,L1_rate_cache.txt
1,99.99
2,99.99
3,99.99
4,99.98
5,99.98
6,99.98
7,99.97
8,99.97
9,99.96
10,99.95
11,99.95
12,99.94
13,99.93
14,99.93
15,99.92
16,99.91
17,99.9
18,99.9
19,99.89
20,99.88
21,99.88
22,99.87
23,99.86
24,99.86
25,99.85
26,99.85
27,99.84
28,99.84
29,99.83
30,99.83
31,99.83
32,99.82
33,99.82
34,99.81
35,99.81
36,99.81
37,99.8
38,99.8
39,99.8
40,99.8
41,99.79
42,99.79
43,99.79
44,99.79
45,99.78
46,99.78
47,99.78
48,99.78
49,99.77
50,99.77
