n,L1_rate_ordinary
1,99.99
2,99.98
3,99.9
4,99.81
5,99.71
6,99.59
7,99.45
8,99.3
9,99.13
10,98.95
11,98.76
12,98.56
13,98.36
14,98.16
15,97.96
16,97.76
17,97.55
18,97.35
19,97.16
20,96.97
21,96.78
22,96.6
23,96.43
24,96.27
25,96.1
26,95.94
27,95.79
28,95.64
29,95.5
30,95.37
31,95.23
32,95.11
33,95.0
34,94.86
35,94.75
36,94.65
37,94.56
38,94.46
39,94.38
40,94.29
41,94.21
42,94.14
43,94.07
44,94.0
45,93.94
46,93.88
47,93.82
48,93.76
49,93.71
50,93.66
